"bairro_key","NM_BAIRRO_DADOS","Casos"
"cidade nova","Cidade Nova",1
"cidade praiana","Cidade Praiana",1
"codieu","Codieu",1
"colegio","Colegio",1
"colinas","Colinas",1
"colonia","Colonia",1
"conceia o do imbe","Conceiã├o Do Imbe",1
"conrenteza","Conrenteza",1
"conrreteza","Conrreteza",1
"coroa","Coroa",1
"corrego","Corrego",1
"corrego do ouro","Corrego Do Ouro",1
"corrego fundo","Corrego Fundo",1
"corrintes","Corrintes",1
"cosmos","Cosmos",1
"cristo reis","Cristo Reis",1
"cubango","Cubango",1
"cupim","Cupim",1
"curicica","Curicica",1
"custodoolis","Custodoolis",1
"custopolis","Custopolis",1
"divineia","Divineia",1
"domana","Domana",1
"doutor lourenco","Doutor Lourenco",1
"ed salete","Ed Salete",1
"eld","Eld",1
"eldo","Eldo",1
"engenho novo","Engenho Novo",1
"enseada das gaivotas","Enseada Das Gaivotas",1
"espirito santo","Espirito Santo",1
"est da penha","Est Da Penha",1
"estrada do saco","Estrada Do Saco",1
"estrada nova","Estrada Nova",1
"estrada veiga","Estrada Veiga",1
"eudonado","Eudonado",1
"eustodopoles","Eustodopoles",1
"ext serramar","Ext Serramar",1
"far","Far,",1
"farl nautico","Farl - Nautico",1
"farol de sao tome radio velho","Farol De Sao Tome - Radio Velho",1
"farol xex","Farol - Xex╔",1
"farol xexe","Farol Xexe",1
"fazenda conceicao da barra","Fazenda Conceicao Da Barra",1
"fazenda franca","Fazenda Franca",1
"fazenda jacaranda","Fazenda Jacaranda",1
"flamboyant","Flamboyant",1
"flamoyant","Flamoyant",1
"foguete","Foguete",1
"fonseca","Fonseca",1
"francisco miranda","Francisco Miranda",1
"fronteira","Fronteira",1
"fundoo","Fundòo",1
"gaivota","Gaivota",1
"gardenia azul","Gardenia Azul",1
"giro fauco","Giro Fauco",1
"goy","Goy",1
"gravata","Gravata",1
"grupiaria","Grupiaria",1
"guarnieri","Guarnieri",1
"higienopolis","Higienopolis",1
"honorio gurgel","Honorio Gurgel",1
"iburi","Iburi",1
"industrial","Industrial",1
"ios","Ios",1
"itaim paulista","Itaim Paulista",1
"itaperanga","Itaperanga",1
"itereru","Itererú",1
"jardiim das figueiras","Jardiim Das Figueiras",1
"jardim acacias","Jardim Acacias",1
"jardim atlantico","Jardim Atlantico",1
"jardim bela vista","Jardim Bela Vista",1
"jardim camburi","Jardim Camburi",1
"jardim campomar","Jardim Campomar",1
"jardim cariova","Jardim Cariova",1
"jardim das acassia","Jardim Das Acassia",1
"jardim ideal","Jardim Ideal",1
"jardim maricea","Jardim Maricea",1
"jardim miriam","Jardim Miriam",1
"jardim pinheiro","Jardim Pinheiro",1
"jardim sao luiz","Jardim Sao Luiz",1
"jardim sao paulo","Jardim Sao Paulo",1
"jardim tropical","Jardim Tropical",1
"joao maria","Joao Maria",1
"jockey 02","Jockey 02",1
